permalink,telep,orsz_fidesz_pc,orsz_lmp_pc,orsz_mszp_pc,orsz_dk_pc,orsz_jobbik_pc,orsz_momentum_pc,orsz_egyutt_pc,orsz_mkkp_pc,orsz_egyeb_pc,jobbik_2019_perc,fidesz_2019_perc,momentum_2019_perc,mi_hazank_2019_perc,mszp_2019_perc,lmp_2019_perc,dk_2019_perc,munkaspart_2019_perc,mkkp_2019_perc,Győztes,Győztes color,Győztes %,Második,Második color,Második %,Harmadik,Harmadik color,Harmadik %,Maradék %,Maradék color,Győztes 2019,Győztes color 2019,Győztes % 2019,Második 2019,Második color 2019,Második % 2019,Harmadik 2019,Harmadik color 2019,Harmadik % 2019,Maradék % 2019,Maradék color 2019
abony,Abony,0.566573034,0.050140449,0.075842697,0.046348315,0.217134831,0.016713483,0.002949438,0.011938202,0.012359551,0.065183652,0.596740817,0.056906363,0.052250388,0.040869115,0.017330574,0.146663218,0.005690636,0.018365235,Független,#E5A3AD,0.530201342,Fidesz-KDNP,#FFA500,0.405145414,JOBBIK,#A8A8A8,0.064653244,0,#FFCAD2,Fidesz-KDNP,#FFA500,0.550548165,VFE,#F2A175,0.400638468,Független,#E5A3AD,0.048813367,0,#FFCAD2
ajka,Ajka,0.456628788,0.058838384,0.16584596,0.060732323,0.205113636,0.022159091,0.003914141,0.017361111,0.009406566,0.067810212,0.474671482,0.072926071,0.037716922,0.101414385,0.018256595,0.200722239,0.003209951,0.023272144,MSZP,#FF3232,0.50762134,Fidesz-KDNP,#FFA500,0.426995588,JOBBIK,#A8A8A8,0.065383073,0,#FFCAD2,Közösen Ajkáért Egyesület,#AAF624,0.582444147,Fidesz-KDNP,#FFA500,0.417555853,N/A,#FFFFFF,0,0,#FFCAD2
albertirsa,Albertirsa,0.487542295,0.058904952,0.13811135,0.043832667,0.20793602,0.028452784,0.004460166,0.01707167,0.013688096,0.061497326,0.530213904,0.090106952,0.031550802,0.065508021,0.024064171,0.162834225,0.003208556,0.031016043,TEAM VÁLASZTÁSI SZÖV,#F2A175,0.539881657,FIDESZ,#FFA500,0.221775148,Független,#E5A3AD,0.093491124,0.144852071,#FFCAD2,Független,#E5A3AD,0.639006846,Fidesz-KDNP,#FFA500,0.276968028,CÉL-TVNE,#F2A175,0.084025126,0,#FFCAD2
baja,Baja,0.473916682,0.085270597,0.128045378,0.05500279,0.183373628,0.042402827,0.006695183,0.014738702,0.010554212,0.044994111,0.522104437,0.115429918,0.029210836,0.058264625,0.020730271,0.182410679,0.004318806,0.022536317,Fidesz-KDNP,#FFA500,0.502045087,Sikeres Bajáért,#F2A175,0.385142205,JOBBIK,#A8A8A8,0.112812708,0,#FFCAD2,Fidesz-KDNP,#FFA500,0.600622348,Sikeres Bajáért,#F2A175,0.377175349,Független,#E5A3AD,0.022202303,0,#FFCAD2
balassagyarmat,Balassagyarmat,0.403769482,0.07883291,0.143439652,0.055545487,0.246013048,0.034523378,0.005436752,0.018575571,0.013863719,0.056809905,0.466496723,0.079206118,0.053896577,0.084850692,0.018572469,0.208485069,0.015112891,0.016569556,Fidesz-KDNP,#FFA500,0.557840083,MSZP,#FF3232,0.221391485,JOBBIK,#A8A8A8,0.128764278,0.092004154,#FFCAD2,Fidesz-KDNP,#FFA500,0.552930385,SZAB,#F2A175,0.447069615,N/A,#FFFFFF,0,0,#FFCAD2
balatonfured,Balatonfüred,0.457259287,0.091925701,0.117892343,0.060841547,0.185841547,0.045204701,0.007771039,0.025871873,0.007391964,0.046643718,0.532358003,0.113425129,0.026678141,0.060240964,0.022203098,0.165920826,0.002409639,0.030120482,Fidesz-KDNP,#FFA500,0.830126582,MSZP-DK-EGYÜTT-PM,#FF3232,0.169873418,N/A,#FFFFFF,0,0,#FFCAD2,Fidesz-KDNP,#FFA500,1,N/A,#FFFFFF,0,N/A,#FFFFFF,0,0,#FFCAD2
balmazujvaros,Balmazújváros,0.501140511,0.046646898,0.09682938,0.028740876,0.281364051,0.010834854,0.003877737,0.011062956,0.019502737,0.10613897,0.55318192,0.064537891,0.039577243,0.056667416,0.018889139,0.133348325,0.007195862,0.020463234,Dr. Veres Margit,#E5A3AD,0.678,Dr. Cs.Tóth János,#E5A3AD,0.1511,Béke Lajos,#E5A3AD,0.1269,0.044,#FFCAD2,Fidesz-KDNP,#FFA500,0.529251841,Független,#E5A3AD,0.470748159,N/A,#FFFFFF,0,0,#FFCAD2
barcs,Barcs,0.419749652,0.054659249,0.094019471,0.068845619,0.312100139,0.027260083,0.004311544,0.013212796,0.005841446,0.149096386,0.498192771,0.048795181,0.019277108,0.053614458,0.014156627,0.195481928,0.005120482,0.01626506,Fidesz-KDNP,#FFA500,0.368955383,JOBBIK,#A8A8A8,0.288805771,MSZP-DK-EGYÜTT-PM,#FF3232,0.228960727,0.113278119,#FFCAD2,Fidesz-KDNP,#FFA500,0.474578365,BÉKE EGYESÜLET-JOBBIK-DSE-MMM-LMP-MOMENTUM,#1D52E2,0.358857271,MSZP,#FF3232,0.166564364,0,#FFCAD2
batonyterenye,Bátonyterenye,0.448406178,0.050936576,0.146894512,0.071639829,0.244331252,0.007886954,0.003450542,0.008215577,0.01823858,0.079395604,0.520054945,0.040659341,0.039010989,0.084615385,0.013736264,0.2,0.006043956,0.016483516,Fidesz-KDNP,#FFA500,0.377264583,DK-EURÓPAI-BALOLDAL-MSZP,#0000CE,0.310372287,JOBBIK,#A8A8A8,0.17579136,0.13657177,#FFCAD2,Fidesz-KDNP,#FFA500,0.454818946,JOBBIK-DK-MOMENTUM-LMP-MMM,#1D52E2,0.411169221,Európai Baloldal - Bátonyterenyei Polgárokért Egyesület,#F2A175,0.134011834,0,#FFCAD2
bekes,Békés,0.53647541,0.072459016,0.07795082,0.030901639,0.203688525,0.032213115,0.003114754,0.020163934,0.023032787,0.06232687,0.634695291,0.052631579,0.045706371,0.046225762,0.016274238,0.123268698,0.003981994,0.014889197,Független,#E5A3AD,0.599296744,FIDESZ,#FFA500,0.261580798,NÖBLE,#F2A175,0.047699129,0.09142333,#FFCAD2,Fidesz-KDNP,#FFA500,0.369372264,MSZP,#FF3232,0.207234263,Rácz Attila,#E5A3AD,0.195504021,0.227889452,#FFCAD2
